Код	Раздел	Ключ	Тип	Формат	"Мин. ширина
или
точность"	Макс. ширина	Обязательность	Многостраничность	Многострочность	Условие включения	Значение по умолчанию	Представление
Движение			С				НМ					
ПN			А	N		10	О					Номер по порядку
П100000000006			А	N	5	15	О					Остаток на начало отчетного периода (дал)
П100000000007			А	N	5	15	О					Поступление (закупки) от организаций- производителей (дал)
П100000000008			А	N	5	15	О					Поступление (закупки) от организаций оптовой торговли (дал)
П100000000009			А	N	5	15	О					Поступление (закупки) по импорту (дал)
П100000000010			А	N	5	15	О					Поступление (закупки) итого (дал)
П100000000011			А	N	5	15	О					Поступление (возврат от покупателей) (дал)
П100000000012			А	N	5	15	О					Прочие поступления (дал)
П100000000013			А	N	5	15	О					Поступление всего (дал)
П100000000014			А	N	5	15	О					Расход (объем розничной продажи) (дал)
П100000000015			А	N	5	15	О					Прочий расход (дал)
П100000000016			А	N	5	15	О					Возврат поставщику (дал)
П100000000017			А	N	5	15	О					Расход всего (дал)
П100000000018			А	N	5	15	О					Остаток на конецотчетного периода (дал)
