Код	Раздел	Ключ	Тип	Формат	"Мин. ширина
или
точность"	Макс. ширина	Обязательность	Многостраничность	Многострочность	Условие включения	Значение по умолчанию	Представление
НомДокПер			А	T	2	2	О				&НомДокПер	Порядковый номер документа за период отчетности
НомерКорр			А	N		3	О				&НомерКорр	Номер корректировки
ДокПредстав			С				О					Документ представляется
Резидент			С				О					Обособленное подразделение находится в том же ФО, в котором находится головная организация
ДокПредст			А	T	3	3	О					Документ представляется
ДокПредстРО			А	T	1	1	О					Документ представляется по месту нахождения российской организации
РазныеФО			С				О					Обособленное подразделение и головная организация находятся в разных ФО
ДокПредст			А	T	3	3	О					Документ представляется
Лицензия			С				НМ					Сведения о лицензиях
ВидДеят			А	T	2	2	О					Вид деятельностипо лицензии
СерЛиц	Титульный	СерЛиц	А	T		50	О					Серия лицензии
НомерЛиц	Титульный	НомерЛиц	А	T		50	О					Номер лицензии
ДатаНачЛиц	Титульный	ДатаНачЛиц	А	T	10	10	О					Дата получения
ДатаОконЛиц	Титульный	ДатаОконЛиц	А	T	10	10	О					Срок действия лицензии
ОбъемЗакупки			С				НМ					Сведения об объемах закупки этилового спирта, алкогольной и спиртосодержащей продукции
П000000000001			А	N		10	О					Порядковый номер
П000000000002	Декларация	П000000000002	А	T	0	1000	Н					Наименование вида    продукции
П000000000003	Декларация	П000000000003	А	T	3	3	О					Код вида        продукции
П000000000110	Декларация	П000000001111	А	T		15	Н					Номер уведомления
П000000000111	Декларация	П000000001211	А	T	10	10	Н					Дата уведомления
П000000000012	Декларация	П000000000012	А	T	10	10	Н					Дата отгрузки
П000000000013	Декларация	П000000000013	А	T		30	Н					Номер товарно-транспортной накладной
П000000000014	Декларация	П000000000014	А	T		30	Н					Номер грузовой таможенной декларации
П000000000015	Декларация	П000000000015	А	T	10	10	Н					Дата пересечения границы
П000000000016	Декларация	П000000000016	А	N	7	18	Н					Объем полученной продукции (тыс. дал)
Резидент			С				О					Кода страны 643
П000000000005	Декларация	П000000000005	А	T	2	2	Н					Код субъекта Российской Федерации
П000000000090	Декларация	П000000001109	А	T		50	Н					Серия лицензии
П000000000091	Декларация	П000000001209	А	T		50	Н					Номер лицензии
П000000000092	Декларация	П000000001309	А	T	10	10	Н					Дата получения лицензии
П000000000093	Декларация	П000000001409	А	T	10	10	Н					Срок действия лицензии
П000000000010	Декларация	П000000000010	А	T		1000	Н					Кем выдана лицензия
П000000000008			С				О					Адрес поставщика
КодСтраны		КодСтраны	П	T	3	3	О					Код страны
Индекс		Индекс	П	T	0	10	Н					Индекс
КодРегион		КодРегион	П	T	2	2	О					Код Региона
Район		Район	П	T	0	50	Н					Район
Город		Город	П	T	0	50	Н					Город
НаселПункт		НаселПункт	П	T	0	50	Н					Населенный пункт
Улица		Улица	П	T	0	50	Н					Улица
Дом		Дом	П	T	0	20	Н					Дом
Корпус		Корпус	П	T	0	20	Н					Корпус
Кварт		Кварт	П	T	0	20	Н					Квартира
ЮЛ			С				О					Поставщик - организация
П000000000004	Декларация	П000000000004	А	T		1000	Н					Наименование поставщика
П000000000006	Декларация	П000000000006	А	T	10	10	Н					ИНН поставщика ЮЛ
П000000000007	Декларация	П000000000007	А	T	9	9	Н					КПП поставщика
ФЛ			С				О					Поставщик - физическое лицо
П000000000006	Декларация	П000000000006	А	T	12	12	Н					ИНН поставщика ФЛ
П000000000004			С				О					ФИО   поставщика
Фамилия		Фамилия	А	T		60	О					Фамилия
Имя		Имя	А	T		60	О					Имя
Отчество		Отчество	А	T		60	Н					Отчество
Иностр			С				О					Кода страны не равен 643
П000000000004	Декларация	П000000000004	А	T		1000	Н					Наименование    поставщика
П000000000081			А	T	3	3	Н					Код страны
П000000000082	Декларация	П000000000008	А	T	1	1000	Н					Адрес поставщика
ОбъемВозврата			С				НМ					Сведения об объемах возврата этилового спирта, алкогольной и спиртосодержащей продукции
П000010000001			А	N		10	О					Порядковый номер
П000010000002	Возвраты	П000010000002	А	T	0	1000	Н					Наименование вида продукции
П000010000003	Возвраты	П000010000003	А	T	3	3	О					Код вида        продукции
П000010000110	Возвраты	П000010001111	А	T		15	Н					Номер уведомления
П000010000111	Возвраты	П000010001211	А	T	10	10	Н					Дата уведомления
П000010000012	Возвраты	П000010000012	А	T	10	10	Н					Дата отгрузки
П000010000013	Возвраты	П000010000013	А	T		30	Н					Номер товарно-транспортной накладной
П000010000014	Возвраты	П000010000014	А	T		30	Н					Номер грузовой таможенной декларации
П000010000015	Возвраты	П000010000015	А	T	10	10	Н					Дата пересечения границы
П000010000016	Возвраты	П000010000016	А	N	7	18	Н					Объем поставленной продукции (тыс. дал)
Резидент			С				О					Кода страны 643
П000010000005	Возвраты	П000010000005	А	T	2	2	Н					Код субъекта Российской Федерации
П000010000090	Возвраты	П000010001109	А	T		50	Н					Серия лицензии
П000010000091	Возвраты	П000010001209	А	T		50	Н					Номер лицензии
П000010000092	Возвраты	П000010001309	А	T	10	10	Н					Дата получения лицензии
П000010000093	Возвраты	П000010001409	А	T	10	10	Н					Срок действия лицензии
П000010000010	Возвраты	П000010000010	А	T		1000	Н					Кем выдана лицензия
П000010000008			С				О					Адрес получателя
КодСтраны		КодСтраны	П	T	3	3	О					Код страны
Индекс		Индекс	П	T	0	10	Н					Индекс
КодРегион		КодРегион	П	T	2	2	О					Код Региона
Район		Район	П	T	0	50	Н					Район
Город		Город	П	T	0	50	Н					Город
НаселПункт		НаселПункт	П	T	0	50	Н					Населенный пункт
Улица		Улица	П	T	0	50	Н					Улица
Дом		Дом	П	T	0	20	Н					Дом
Корпус		Корпус	П	T	0	20	Н					Корпус
Кварт		Кварт	П	T	0	20	Н					Квартира
ЮЛ			С				О					Получатель - организация
П000010000004	Возвраты	П000010000004	А	T		1000	Н					Наименование    получателя
П000010000006	Возвраты	П000010000006	А	T	10	10	Н					ИНН получателя ЮЛ
П000010000007	Возвраты	П000010000007	А	T	9	9	Н					КПП получателя
ФЛ			С				О					Получатель - физическое лицо
П000010000006	Возвраты	П000010000006	А	T	12	12	Н					ИНН получателя ФЛ
П000010000004			С				О					ФИО   получателя
Фамилия		Фамилия	А	T		60	О					Фамилия
Имя		Имя	А	T		60	О					Имя
Отчество		Отчество	А	T		60	Н					Отчество
Иностр			С				О					Кода страны не равен 643
П000010000004	Возвраты	П000010000004	А	T		1000	Н					Наименование    получателя
П000010000081			А	T	3	3	Н					Код страны
П000010000082	Возвраты	П000010000008	А	T	1	1000	Н					Адрес получателя
