Код	Раздел	Ключ	Тип	Формат	"Мин. ширина
или
точность"	Макс. ширина	Обязательность	Многостраничность	Многострочность	Условие включения	Значение по умолчанию	Представление
Кварт			П	T	0	50	Н				&Кварт	Квартира
ЮЛ			С				Н					Организация ЮЛ
ИННЮЛ			А	T	10	10	О				&ИННЮЛ	ИНН ЮЛ
КППЮЛ			А	T	9	9	О				&КППЮЛ	КПП
ФЛ			С				Н					Организация - физическое лицо
ИННФЛ			А	T	12	12	О				&ИННФЛ	ИНН ФЛ
ОтветЛицо			С				О					Сведения об ответственных лицах организации
Руководитель			С				О					Сведения о руководителе
Фамилия			П	T			О				&РуководительФамилия	Фамилия
Имя			П	T			О				&РуководительИмя	Имя
Отчество			П	T			Н				&РуководительОтчество	Отчество
Главбух			С				О					Сведения о главном бухгалтере
Фамилия			П	T			О				&ГлавбухФамилия	Фамилия
Имя			П	T			О				&ГлавбухИмя	Имя
Отчество			П	T			Н				&ГлавбухОтчество	Отчество
Деятельность			С				О					Сведения о деятельности
Лицензируемая			С				О					Список лицензий организаций
Лицензия			С				ОМ					Сведения о лицензиях
ВидДеят			А	T	2	2	О					Вид деятельностипо лицензии
СерНомЛиц			А	T		50	О					Серия и номер лицензии
ДатаНачЛиц			А	T	10	10	О					Дата получения
ДатаОконЛиц			А	T	10	10	О					Срок действия лицензии
Нелицензируемая												
ВидДеят			А	T	2	2	О					Вид деятельностипо лицензии
ОбъемОборота			С				ОМ					
Наим			А	T		1000	О					Наименование огранизации/филиала
КППЮЛ			А	T	9	9	Н					КПП организации
НаличиеЗакупки			А	Т			О					Признак, указывающий что по организации/ филиалу была закупка
НаличиеВозврата			А	Т			О					Признак, указывающий что по организации/ филиалу был возврат
АдрОрг			С				О					Местонахождение организации (обособленного подразделения)
КодСтраны			П	T	3	3	О					Код страны
Индекс			П	T	0	10	Н					Индекс
КодРегион			П	T	2	2	О					Код Региона
Район			П	T	0	50	Н					Район
Город			П	T	0	50	Н					Город
НаселПункт			П	T	0	50	Н					Населенный пункт
Улица			П	T	0	50	Н					Улица
Дом			П	T	0	50	Н					Дом
Корпус			П	T	0	50	Н					Корпус
Литера			П	T	0	50	Н					Литера
Кварт			П	T	0	50	Н					Квартира
Оборот			С				НМ					Поставка этилового спирта, алкогольной и спиртосодержащей продукции
ПN			А	N		10	О					Номер по порядку
П000000000003			А	T	3	3	О					Код вида продукции
СведПроизвИмпорт			С				ОМ					Сведения по каждому производителю/импортеру
ПN			А	N		10	О					Номер по порядку
ИдПроизвИмп			А	N		10	О					Ид производителя/импортера
Поставщик			С				ОМ					
ПN			А	N		10	О					Номер по порядку
ИдПоставщика			А	N		10	О					Идентификатор элемента справочника "Поставщики"
ИдЛицензии			А	N		10	Н					Идентификатор элемента справочника "Лицензии"
Закупка			С				НМ					
П000000000015			А	T	10	10	Н					Дата уведомления о закупке
П000000000016			А	T		50	Н					Номер уведомления о закупке
П000000000017			А	N	5	15	Н					Объем закупки
П000000000018			А	T	10	10	О					Дата закупки
П000000000019			А	T		50	О					Номер ТТН
П000000000020			А	T		50	О					Номер ГТД
П000000000021			А	N	5	15	О					Объем закупленной продукции
Возврат			С				НМ					
П000000000015			А	T	10	10	Н					Дата уведомления о закупке
П000000000016			А	T		50	Н					Номер уведомления о закупке
П000000000017			А	N	5	15	Н					Объем закупки
П000000000018			А	T	10	10	О					Дата закупки
П000000000019			А	T		50	О					Номер ТТН
П000000000020			А	T		50	О					Номер ГТД
П000000000021			А	N	5	15	О					Объем закупленной продукции
