Код	Раздел	Ключ	Тип	Формат	"Мин. ширина
или
точность"	Макс. ширина	Обязательность	Многостраничность	Многострочность	Условие включения	Значение по умолчанию	Представление
Фамилия			П	T			О				&РуководительФамилия	Фамилия
Имя			П	T			О				&РуководительИмя	Имя
Отчество			П	T			Н				&РуководительОтчество	Отчество
Главбух			С				О					Сведения о главном бухгалтере
Фамилия			П	T			О				&ГлавбухФамилия	Фамилия
Имя			П	T			О				&ГлавбухИмя	Имя
Отчество			П	T			Н				&ГлавбухОтчество	Отчество
Деятельность			С				О					Сведения о деятельности
Лицензируемая			С				О					Список лицензий организаций
Лицензия			С				ОМ					Сведения о лицензиях
ВидДеят			А	T	2	2	О					Вид деятельностипо лицензии
СерНомЛиц			А	T		50	О					Серия и номер лицензии
ДатаНачЛиц			А	T	10	10	О					Дата получения
ДатаОконЛиц			А	T	10	10	О					Срок действия   лицензии
Нелицензируемая												
ВидДеят			А	T	2	2	О					Вид деятельностипо лицензии
ОбъемПеревозки			С				ОМ					Cведения о перевозках этилового спирта, алкогольной и спиртосодержащей продукции
НаимЮЛ			А	T		1000	О					Наименование огранизации/филиала
КППЮЛ			А	T	9	9	О					КПП организации
НаличиеПеревозок			А	T			О					Признак, указывающий что по организации/ филиалу была перевозка продуции
АдрОрг			С				О					Местонахождение организации     (обособленного  подразделения)
КодСтраны			П	T	3	3	О					Код страны
Индекс			П	T	0	10	Н					Индекс
КодРегион			П	T	2	2	О					Код Региона
Район			П	T	0	50	Н					Район
Город			П	T	0	50	Н					Город
НаселПункт			П	T	0	50	Н					Населенный пункт
Улица			П	T	0	50	Н					Улица
Дом			П	T	0	50	Н					Дом
Корпус			П	T	0	50	Н					Корпус
Литера			П	T	0	50	Н					Литера
Кварт			П	T	0	50	Н					Квартира
Перевозка			С				НМ					Перевозка этилового спирта, алкогольной и спиртосодержащей продукции
ПN			А	N		10	О					Номер по порядку
П000000000002			А	T	2	2	О					Код вида перевозки
Продукция			С				ОМ					
П000000000004			А	T	2	5	О					Вид продукции
СведПеревозчик			С				ОМ					Сведения по каждому перевозчику
ПN			А	N		10	О					Номер по порядку
ИдПеревозчика			А	N		10	О					Идентификатор элемента справочника "Перевозчики"
ИдЛицензии			А	N		10	Н					Идентификатор элемента справочника "Лицензии"
ТранспортноеСредство			С				ОМ					Сведения по каждому транспортному средству
ПN			А	N		10	О					Номер по порядку
ИдТС			А	N		10	О					Идентификатор элемента справочника "Транспортные средства"
СведТН			С				ОМ					Сведения, содержащиеся в гружовой транспортной накладной перевозчика
ПN			А	N		10	О					Номер по порядку
П000000000014			А	T	10	10	О					Дата ТН
П000000000015			А	T		100	О					Номер ТН
П000000000016			А	N	5	15	О					Масса груза (брутто) по ТН, т или дал
СведТТН			С				ОМ					Сведения, содержащиеся с ТТН грузоотправителя
ПN			А	N		10	О					Номер по порядку
П000000000017			А	T	10	10	О					Дата ТТН
П000000000018			А	T		100	О					Номер ТТН
П000000000019			А	N	5	15	О					Масса груза (брутто) по ТТН, т или дал
ИдПолучателя			А	N		10	О					Идентификатор элемента справочника "Получатели"
П000000000020			А	N	5	15	О					Объем перевозимой (поставляемой) продукции, от, дал
