Код	Раздел	Ключ	Тип	Формат	"Мин. ширина
или
точность"	Макс. ширина	Обязательность	Многостраничность	Многострочность	Условие включения	Значение по умолчанию	Представление
УдЛичн		УдЛичн	А	T		25	О					Серия и номер документа, удостоверяющего личность
ВыдУдЛичн		ВыдУдЛичн	А	T		1000	Н					Кем выдан документ, удостоверяющий личность
ДатаДок		ДатаДок	А	T	10	10	Н					Дата выдачи документа, удостоверяющего личность
АдрМЖ			С				О					Место жительства в Российской Федерации ответственного лица
КодСтраны		КодСтраны	П	T	3	3	О					Код страны
Индекс		Индекс	П	T	0	10	Н					Индекс
КодРегион		КодРегион	П	T	2	2	О					Код Региона
Район		Район	П	T	0	50	Н					Район
Город		Город	П	T	0	50	Н					Город
НаселПункт		НаселПункт	П	T	0	50	Н					Населенный пункт
Улица		Улица	П	T	0	50	Н					Улица
Дом		Дом	П	T	0	20	Н					Дом
Корпус		Корпус	П	T	0	20	Н					Корпус
Кварт		Кварт	П	T	0	20	Н					Квартира
Главбух			С				Н					Сведения о главном бухгалтере
ФИО			С				О					Фамилия, имя, отчество ответственного лица
Фамилия		Фамилия	А	T		60	О					Фамилия
Имя		Имя	А	T		60	О					Имя
Отчество		Отчество	А	T		60	Н					Отчество
ИННФЛ			С				О					Присутствуют данные об ИНН
ИНН		ИНН	А	T	12	12	О					ИНН ответственного лица
СведФЛ			С				О					Отсутствуют данные об ИНН
ТелСлуж		ТелСлуж	А	T	0	20	О					Номер контактного телефона ответственного лица (служебный)
АдрМЖРез		АдрМЖРез	А	T		128	Н					Место жительства ответственного лица в стране, резидентом которой является декларант
УдЛичн			С				О					Данные удостоверения личности ответственного лица
КодВидДок		КодВидДок	А	T	2	2	О					Код вида документа, удостоверяющего личность
УдЛичн		УдЛичн	А	T		25	О					Серия и номер документа, удостоверяющего личность
ВыдУдЛичн		ВыдУдЛичн	А	T		1000	Н					Кем выдан документ, удостоверяющий личность
ДатаДок		ДатаДок	А	T	10	10	Н					Дата выдачи документа, удостоверяющего личность
АдрМЖ			С				О					Место жительства в Российской Федерации ответственного лица
КодСтраны		КодСтраны	П	T	3	3	О					Код страны
Индекс		Индекс	П	T	0	10	Н					Индекс
КодРегион		КодРегион	П	T	2	2	О					Код Региона
Район		Район	П	T	0	50	Н					Район
Город		Город	П	T	0	50	Н					Город
НаселПункт		НаселПункт	П	T	0	50	Н					Населенный пункт
Улица		Улица	П	T	0	50	Н					Улица
Дом		Дом	П	T	0	20	Н					Дом
Корпус		Корпус	П	T	0	20	Н					Корпус
Кварт		Кварт	П	T	0	20	Н					Квартира
УполнПредставитель			С				Н					Сведения о главном уполномоченном представителе
ФИО			С				О					Фамилия, имя, отчество ответственного лица
Фамилия		Фамилия	А	T		60	О					Фамилия
Имя		Имя	А	T		60	О					Имя
Отчество		Отчество	А	T		60	Н					Отчество
ИННФЛ			С				О					Присутствуют данные об ИНН
ИНН		ИНН	А	T	12	12	О					ИНН ответственного лица
СведФЛ			С				О					Отсутствуют данные об ИНН
ТелСлуж		ТелСлуж	А	T	0	20	О					Номер контактного телефона ответственного лица (служебный)
АдрМЖРез		АдрМЖРез	А	T		128	Н					Место жительства ответственного лица в стране, резидентом которой является декларант
УдЛичн			С				О					Данные удостоверения личности ответственного лица
КодВидДок		КодВидДок	А	T	2	2	О					Код вида документа, удостоверяющего личность
УдЛичн		УдЛичн	А	T		25	О					Серия и номер документа, удостоверяющего личность
ВыдУдЛичн		ВыдУдЛичн	А	T		1000	Н					Кем выдан документ, удостоверяющий личность
ДатаДок		ДатаДок	А	T	10	10	Н					Дата выдачи документа, удостоверяющего личность
АдрМЖ			С				О					Место жительства в Российской Федерации ответственного лица
КодСтраны		КодСтраны	П	T	3	3	О					Код страны
Индекс		Индекс	П	T	0	10	Н					Индекс
КодРегион		КодРегион	П	T	2	2	О					Код Региона
Район		Район	П	T	0	50	Н					Район
Город		Город	П	T	0	50	Н					Город
НаселПункт		НаселПункт	П	T	0	50	Н					Населенный пункт
Улица		Улица	П	T	0	50	Н					Улица
Дом		Дом	П	T	0	20	Н					Дом
Корпус		Корпус	П	T	0	20	Н					Корпус
Кварт		Кварт	П	T	0	20	Н					Квартира
Отчетность			С				О					Описание формы отчетности
ПризФОтч			А	T	1	1	О				&ПризФОтч	Признак формы отчетности
ГодПериодОтч			А	T	4	4	О				&ГодПериодОтч	Отчетный год
ПериодОтч			С				О					Отчетный период
Месяц			С				О					
ПризПериодОтч			А	T	2	2	О				&МесяцПериодОтч	Отчетный период за месяц
Квартал			С				О					
ПризПериодОтч			А	T	1	1	О				&КварталПериодОтч	Отчетный период за квартал
ФормаОтч			С				О					Форма отчетности
Первичная			С				О					Первичная форма отчетности
НомДокПер			А	T	2	2	О				01	Порядковый номер документа за период отчетности
Корректирующая			С				О					Первичная форма отчетности
НомДокПер			А	T	2	2	О				&НомДокПер	Порядковый номер документа за период отчетности
НомерКорр			А	N		3	О				&НомерКорр	Номер корректировки
ДокПредстав			С				О					Документ представляется
РазныеФО			С				О					Обособленное подразделение и головная организация находятся в разных ФО
ДокПредст			А	T	3	3	О					Документ представляется
Резидент			С				О					Обособленное подразделение находится в том же ФО, в котором находится головная организация
ДокПредст			А	T	3	3	О					Документ представляется
ДокПредстРО			А	T	1	1	О					Документ представляется по месту нахождения российской организации
Лицензия			С				ОМ					Сведения о лицензиях
ВидДеят			А	T	2	2	О					Вид деятельностипо лицензии
СерЛиц	Титульный	СерЛиц	А	T		50	О					Серия лицензии
НомерЛиц	Титульный	НомерЛиц	А	T		50	О					Номер лицензии
ДатаНачЛиц	Титульный	ДатаНачЛиц	А	T	10	10	О					Дата получения
ДатаОконЛиц	Титульный	ДатаОконЛиц	А	T	10	10	О					Срок действия лицензии
ОбъемОборот			С				НМ					Cведения об объемах оборота этилового спирта, алкогольной и спиртосодержащей продукции
П000000000001			А	N		10	О					Порядковый номер
П000000000002	Декларация	П000000000002	А	T	0	1000	Н					Наименование вида продукции
П000000000003	Декларация	П000000000003	А	T	3	3	О					Код вида        продукции
П000000000004	Декларация	П000000000004	А	N	4	15	Н					Остаток на начало отчетного периода (тыс. дал
П000000000005	Декларация	П000000000005	А	N	4	15	Н					Поступление, всего (тыс. дал)
П000000000006	Декларация	П000000000006	А	N	4	15	Н					Закупки, всего (тыс. дал)
П000000000007	Декларация	П000000000007	А	N	4	15	Н					Закупки от организаций производителей (тыс. дал)
П000000000008	Декларация	П000000000008	А	N	4	15	Н					Закупки от организаций оптовой торговли (тыс. дал)
П000000000009	Декларация	П000000000009	А	N	4	15	Н					Закупки по импорту (тыс. дал)
П000000000010	Декларация	П000000000010	А	N	4	15	Н					Возврат продукции (тыс. дал)
П000000000011	Декларация	П000000000011	А	N	4	15	Н					Расход, всего (тыс. дал)
П000000000012	Декларация	П000000000012	А	N	4	15	Н					Поставки, всего (тыс. дал)
П000000000013	Декларация	П000000000013	А	N	4	15	Н					Поставки организациям оптовой торговли (тыс. дал)
П000000000014	Декларация	П000000000014	А	N	4	15	Н					Поставки организациям розничной торговли (тыс. дал)
П000000000015	Декларация	П000000000015	А	N	4	15	Н					Поставки на экспорт (тыс. дал)
П000000000016	Декларация	П000000000016	А	N	4	15	Н					Возврат поставщикам (тыс. дал)
П000000000017	Декларация	П000000000017	А	N	4	15	Н					Прочий расход (тыс. дал)
П000000000018	Декларация	П000000000018	А	N	4	15	Н					Остаток на конец отчетного периода (тыс. дал)
