Код	Раздел	Ключ	Тип	Формат	"Мин. ширина
или
точность"	Макс. ширина	Обязательность	Многостраничность	Многострочность	Условие включения	Значение по умолчанию	Представление
Индекс			П	T	0	10	Н					Индекс
КодРегион			П	T	2	2	О					Код Региона
Район			П	T	0	50	Н					Район
Город			П	T	0	50	Н					Город
НаселПункт			П	T	0	50	Н					Населенный пункт
Улица			П	T	0	50	Н					Улица
Дом			П	T	0	20	Н					Дом
Корпус			П	T	0	20	Н					Корпус
Литера			П	T	0	50	Н					Литера
Кварт			П	T	0	20	Н					Квартира
Оборот			С				НМ					Поставка этилового спирта, алкогольной и спиртосодержащей продукции
ПN			А	N		10	О					Номер по порядку
П000000000003			А	T	3	3	О					Код вида продукции
СведПроизвИмпорт			С				ОМ					Сведения по каждому производителю/импортеру
ПN			А	N		10	О					Номер по порядку
ИдПроизвИмп			А	N		10	О					Ид производителя/импортёра
Получатель			С				ОМ					
ПN			А	N		10	О					
ИдПолучателя			А	N		10	О					
ИдЛицензии			А	N		10	Н					
Поставка			С				НМ					
П000000000015			А	T	10	10	Н					Дата уведомления о поставке
П000000000016			А	T		50	Н					Номер уведомления о поставке
П000000000017			А	N	5	15	Н					Объем поставки по уведомлению
П000000000018			А	T	10	10	О					Дата поставки
П000000000019			А	T		50	О					Номер ТТН
П000000000020			А	T		50	О					Номер ГТД
П000000000021			А	N	5	15	О					Объем поставленной продукции
Возврат			С				НМ					
П000000000015			А	T	10	10	Н					Дата уведомления о поставке
П000000000016			А	T		50	Н					Номер уведомления о поставке
П000000000017			А	N	5	15	Н					Объем поставки по уведомлению
П000000000018			А	T	10	10	О					Дата поставки
П000000000019			А	T		50	О					Номер ТТН
П000000000020			А	T		50	О					Номер ГТД
П000000000021			А	N	5	15	О					Объем поставленной продукции
